ITERACION 1
|ID  |X              |Y              |C1             |C2             |C3             |MIN            |
|1   |5.257800       |-8.108500      |6.134512       |9.710203       |14.548046      |6.134512       |
|2   |7.630600       |-4.265500      |8.089286       |10.705660      |17.942418      |8.089286       |
|3   |-8.007100      |-2.526100      |20.347246      |5.029476       |8.531872       |5.029476       |
|4   |-0.095100      |-9.780700      |10.336166      |7.376743       |8.987988       |7.376743       |
|5   |4.665000       |-7.307200      |7.105251       |8.792281       |14.155176      |7.105251       |
|6   |4.655100       |-9.015200      |6.121845       |9.735666       |13.798594      |6.121845       |
|7   |-7.543100      |-4.265300      |19.172531      |4.716009       |6.890482       |4.716009       |
|8   |-0.857300      |-9.621200      |11.114839      |6.959271       |8.258611       |6.959271       |
|9   |5.611100       |-6.690300      |6.888785       |9.368530       |15.233442      |6.888785       |
|10  |-6.723200      |-2.446600      |19.259618      |3.764103       |8.851241       |3.764103       |
|11  |-6.752600      |-2.633200      |19.193399      |3.770484       |8.663380       |3.770484       |
|12  |-2.294800      |-10.202000     |12.425575      |7.236443       |6.752519       |6.752519       |
|13  |-7.022500      |-4.385800      |18.647830      |4.254521       |6.903488       |4.254521       |
|14  |6.300300       |-7.632100      |5.724188       |10.389992      |15.666586      |5.724188       |
|15  |-5.991800      |-4.272400      |17.761010      |3.251133       |7.369523       |3.251133       |
|16  |-6.976100      |-2.575800      |19.416578      |3.998664       |8.663909       |3.998664       |
|17  |5.180600       |-8.937300      |5.710232       |10.108103      |14.329834      |5.710232       |
|18  |0.848300       |-9.928900      |9.383127       |7.925848       |9.906375       |7.925848       |
|19  |0.035600       |-9.184700      |10.354476      |6.889512       |9.216148       |6.889512       |
|20  |-8.622900      |-3.231400      |20.583993      |5.627659       |7.777747       |5.627659       |
|21  |-1.397300      |-7.293300      |12.330915      |4.582693       |8.458172       |4.582693       |
|22  |5.847000       |-7.822700      |5.890437       |10.076103      |15.183170      |5.890437       |
|23  |6.146400       |-7.904700      |5.623319       |10.378474      |15.459441      |5.623319       |
|24  |-0.754000      |-7.498000      |11.658324      |5.027576       |8.958824       |5.027576       |
|25  |0.612500       |-10.587200     |9.493217       |8.403318       |9.621360       |8.403318       |
|26  |-7.058200      |-3.061700      |19.258125      |4.058669       |8.172343       |4.058669       |
|27  |-0.555300      |-10.701700     |10.634846      |8.080392       |8.449967       |8.080392       |
|28  |-9.281200      |-4.403100      |20.723840      |6.436005       |6.602891       |6.436005       |
|29  |6.369700       |-8.089000      |5.336197       |10.662514      |15.642941      |5.336197       |
|30  |7.490400       |-9.082800      |3.848136       |12.126374      |16.601474      |3.848136       |
|31  |5.830100       |-7.927400      |5.828734       |10.111871      |15.145057      |5.828734       |
|32  |-8.196400      |-2.552900      |20.502602      |5.215599       |8.485238       |5.215599       |
|33  |-7.898900      |-3.284800      |19.907921      |4.907172       |7.793377       |4.907172       |
|34  |-7.395200      |-3.444500      |19.385292      |4.417620       |7.724051       |4.417620       |
|35  |-1.077500      |-9.528700      |11.349816      |6.805875       |8.057961       |6.805875       |
|36  |-1.825200      |-11.114200     |11.858330      |8.198805       |7.175709       |7.175709       |
|37  |0.543200       |-10.157300     |9.634657       |7.986314       |9.580335       |7.986314       |
|38  |-1.182300      |-9.840200      |11.388967      |7.077596       |7.903263       |7.077596       |
|39  |4.386900       |-7.979200      |6.904616       |8.908351       |13.723495      |6.904616       |
|40  |7.802000       |-6.495800      |5.926839       |11.353582      |17.395259      |5.926839       |
|41  |7.075400       |-8.220500      |4.778902       |11.347568      |16.313924      |4.778902       |
|42  |-9.022800      |-3.282600      |20.925104      |6.029426       |7.717434       |6.029426       |
